"DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES"
"BRA;BOG;2;14;2639266"
"BRA;BOG;9;8;1508152"
"BRA;BOG;796;9463;1782498"
"BRA;BOG;1;4;754076"
"BRA;BOG;1;100;189406"
"BRA;BOG;100;200;376730"
"BRA;BOG;15984;405234;765555916"
"BRA;BOG;2535;19037;35964129"
"BRA;BOG;16433;235068;443147843"
"BRA;BOG;100000;10000;18798800"
"BRA;BOG;498;1322439;2492043725"
"BRA;BOG;216;73711;1393101045"
"BRA;BOG;15565;393795;742291761"
"BRA;BOG;1;4545;8568189"
"BRA;BOG;8;150777;284243293"
"BRA;BOG;1;1645;3101138"
"BRA;BOG;1;1753;3304738"
"BRA;BOG;3;236;4449048"
"BRA;BOG;1;1398;2635496"
"BRA;BOG;1;805;1517578"
"BRA;BOG;13000;99840;1880406528"
"BRA;BOG;2;8408;15850678"
"BRA;BOG;40000;509638;957844235"
"BRA;BOG;40000;58668;110264159"
"BRA;BOG;59;2;375892"
"BRA;BOG;1;2;375892"
"BRA;BOG;8;16;3007136"
"BRA;BOG;2;4;751784"
"BRA;BOG;400;8336;157546232"
"BRA;BOG;1;9262;174468294"
"BRA;BOG;250;89625;1688920388"
"BRA;BOG;148;1554;292068084"
"BRA;BOG;1;6340;119621852"
"BRA;BOG;1;88616;166678721"
"BRA;BOG;8884;20849;39185279"
"BRA;BOG;48134;145992;274788839"
"BRA;BOG;1826;10436;19614253"
"BRA;BOG;885;99501;187591176"
"BRA;BOG;569;8651;16297316"
"BRA;BOG;2200;92523;174315282"
"BRA;BOG;6000;43718;82367335"
"BRA;BOG;286;67833;127802346"
"BRA;BOG;4353798;2438562;4593397312"
"BRA;BOG;18208;990408;1864919154"
"BRA;BOG;20;137533;259064035"
"BRA;BOG;11300;270451;509537905"
"BRA;BOG;47;225;4241183"
"BRA;BOG;2;74;139528"
"BRA;BOG;32;6438;1214709"
"BRA;BOG;4;2;37673"
"BRA;BOG;26136;4218656;7969758355"
"BRA;BOG;1;2;37673"
"BRA;CTG;5069;37978;71378132"
"BRA;CTG;8000;13625;25613365"
"CAN;BOG;21923;135084;2545515764"
"CAN;BOG;352;15140;285467728"
"CAN;BOG;17800;7436;1399536996"
"CAN;BOG;4;140;2635276"
"CAN;BOG;4;164;30870376"
